neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1.0,14.0,40.74186,-74.00528,1,2.0,6.0,0.14,1.0,0
1.0,30.0,40.84305,-73.94045,1,2.0,10.0,0.21,1.0,0
2.0,61.0,40.72219,-73.73605,1,2.0,17.0,2.63,1.0,14
1.0,28.0,40.76882,-73.96862,1,1.0,0.0,0.72,1.0,0
0.0,6.0,40.69089,-73.93912,2,1.0,33.0,3.08,4.0,85
0.0,21.0,40.688,-73.9171,1,3.0,70.0,2.13,1.0,68
1.0,11.0,40.73245,-74.00328,1,3.0,13.0,2.36,3.0,115
0.0,6.0,40.69362,-73.95906,0,2.0,43.0,4.18,3.0,25
0.0,12.0,40.70905,-73.95152,0,1.0,0.0,0.72,1.0,0
1.0,8.0,40.79396,-73.96311,1,4.0,39.0,4.18,1.0,265
0.0,0.0,40.63955,-73.9807,1,2.0,1.0,0.04,1.0,0
0.0,6.0,40.68576,-73.91719,1,1.0,35.0,2.04,1.0,28
1.0,23.0,40.71022,-73.99163,1,3.0,14.0,1.93,1.0,158
0.0,6.0,40.68762,-73.92318,0,10.0,1.0,0.02,1.0,0
0.0,20.0,40.724,-73.95202,1,1.0,18.0,0.87,1.0,0
1.0,19.0,40.73145,-73.98384,0,3.0,1.0,0.02,1.0,0
1.0,14.0,40.73986,-74.00035,1,2.0,1.0,0.02,1.0,0
0.0,10.0,40.66736,-73.98546,0,13.0,0.0,0.72,1.0,342
1.0,5.0,40.74769,-73.97592,1,13.0,1.0,0.59,4.0,342
0.0,22.0,40.65401,-73.96323,1,6.0,16.0,0.15,1.0,38
1.0,2.0,40.82828,-73.94264,0,3.0,3.0,0.1,1.0,0
0.0,33.0,40.67573,-73.99878,1,6.0,1.0,0.03,1.0,24
1.0,19.0,40.7277,-73.98362,1,1.0,38.0,3.27,2.0,101
2.0,85.0,40.69472,-73.77109,0,2.0,34.0,1.16,1.0,59
0.0,22.0,40.63578,-73.95684,0,3.0,5.0,0.51,1.0,0
1.0,2.0,40.82348,-73.94581,0,13.0,5.0,0.24,4.0,202
1.0,7.0,40.76171,-73.98728,1,2.0,1.0,1.0,1.0,125
1.0,14.0,40.74377,-73.99905,1,4.0,1.0,0.16,2.0,0
2.0,31.0,40.74683,-73.90654,0,13.0,0.0,0.72,4.0,94
0.0,12.0,40.71339,-73.96112,1,2.0,3.0,1.14,1.0,4
3.0,96.0,40.83703,-73.85648,0,2.0,63.0,1.8,2.0,150
0.0,16.0,40.67059,-73.98621,1,2.0,2.0,0.1,2.0,0
1.0,4.0,40.78608,-73.94305,0,3.0,14.0,0.41,4.0,0
0.0,12.0,40.71651,-73.95623,1,2.0,4.0,0.3,1.0,93
2.0,63.0,40.72902,-73.8474,1,13.0,12.0,0.47,1.0,66
0.0,15.0,40.6732,-73.92146,0,3.0,7.0,2.44,1.0,152
0.0,12.0,40.70626,-73.92921,0,13.0,3.0,0.26,1.0,88
1.0,28.0,40.77227,-73.94968,1,3.0,26.0,0.6,1.0,0
1.0,27.0,40.72046,-74.00151,1,4.0,1.0,0.37,1.0,90
2.0,83.0,40.75533,-73.87804,0,1.0,70.0,2.32,2.0,127
0.0,21.0,40.69749,-73.93153,1,3.0,7.0,0.42,1.0,38
3.0,96.0,40.81725,-73.90929,0,2.0,31.0,0.81,4.0,280
2.0,96.0,40.69545,-73.86084,0,2.0,8.0,1.76,1.0,0
1.0,1.0,40.75402,-73.9651,1,3.0,19.0,2.45,4.0,204
1.0,28.0,40.77043,-73.95557,1,3.0,2.0,0.08,1.0,0
0.0,12.0,40.72006,-73.95694,1,2.0,6.0,0.14,1.0,0
0.0,6.0,40.6896,-73.9266,0,2.0,2.0,0.08,1.0,0
2.0,46.0,40.68121,-73.76869,0,1.0,22.0,0.99,2.0,177
1.0,14.0,40.73942,-73.99629,1,13.0,0.0,0.72,1.0,0
0.0,12.0,40.70772,-73.94126,0,2.0,18.0,0.63,1.0,0
1.0,1.0,40.75754,-73.96129,1,13.0,0.0,0.72,4.0,334
1.0,2.0,40.82232,-73.93647,0,3.0,70.0,4.1,1.0,200
0.0,15.0,40.67698,-73.94414,0,2.0,2.0,0.29,3.0,78
1.0,68.0,40.73258,-73.9819,1,10.0,0.0,0.72,1.0,33
1.0,11.0,40.73095,-74.00242,1,1.0,1.0,0.02,1.0,0
0.0,15.0,40.66629,-73.93073,1,3.0,33.0,1.12,4.0,259
1.0,71.0,40.75609,-73.98724,0,1.0,0.0,0.72,4.0,343
0.0,17.0,40.65552,-73.97493,1,1.0,70.0,4.13,1.0,127
0.0,12.0,40.71091,-73.96029,0,5.0,0.0,0.72,1.0,0
2.0,37.0,40.74444,-73.83281,0,1.0,15.0,2.28,4.0,137
1.0,30.0,40.84543,-73.94283,0,1.0,70.0,3.58,1.0,280
2.0,56.0,40.7672,-73.91198,1,2.0,7.0,0.31,1.0,90
1.0,2.0,40.81884,-73.94579,0,3.0,4.0,0.15,1.0,87
1.0,8.0,40.79856,-73.97174,0,5.0,2.0,0.14,1.0,0
1.0,2.0,40.81128,-73.94117,1,3.0,70.0,1.38,1.0,35
1.0,7.0,40.75707,-73.99764,0,2.0,0.0,0.72,1.0,20
1.0,8.0,40.77853,-73.97609,1,7.0,1.0,0.14,1.0,0
2.0,39.0,40.74147,-73.91997,1,1.0,2.0,0.04,1.0,0
1.0,2.0,40.83046,-73.94142,0,1.0,7.0,0.25,1.0,0
0.0,34.0,40.67814,-73.98264,1,4.0,9.0,0.74,2.0,6
0.0,6.0,40.68022,-73.91423,0,2.0,4.0,1.82,4.0,350
2.0,25.0,40.75358,-73.93703,0,1.0,15.0,4.18,4.0,350
1.0,4.0,40.79109,-73.94915,0,2.0,70.0,4.08,2.0,40
0.0,15.0,40.6711,-73.95231,0,2.0,20.0,0.59,1.0,98
0.0,13.0,40.68719,-73.97777,1,1.0,0.0,0.72,1.0,0
0.0,12.0,40.72021,-73.95695,1,4.0,14.0,0.77,1.0,0
0.0,12.0,40.70928,-73.94882,0,4.0,6.0,0.41,1.0,7
0.0,6.0,40.68732,-73.94058,0,2.0,41.0,1.09,2.0,0
1.0,4.0,40.79104,-73.94144,1,2.0,3.0,0.16,1.0,41
0.0,79.0,40.64953,-74.00011,0,2.0,9.0,0.25,1.0,20
1.0,68.0,40.73708,-73.98455,1,4.0,23.0,0.31,1.0,11
0.0,15.0,40.66482,-73.93619,0,1.0,1.0,0.04,1.0,0
0.0,15.0,40.67039,-73.95959,1,13.0,3.0,0.08,1.0,0
0.0,79.0,40.66592,-73.99434,1,13.0,1.0,0.14,4.0,365
2.0,96.0,40.72664,-73.89294,1,2.0,19.0,2.91,2.0,309
1.0,8.0,40.7846,-73.97636,0,3.0,0.0,0.72,2.0,24
1.0,1.0,40.76449,-73.98445,1,2.0,0.0,0.72,1.0,47
2.0,56.0,40.76101,-73.92464,1,1.0,70.0,2.75,1.0,273
0.0,21.0,40.70102,-73.92864,0,2.0,52.0,2.21,1.0,288
1.0,52.0,40.72839,-73.99437,1,6.0,12.0,0.84,4.0,52
0.0,6.0,40.68098,-73.92229,0,1.0,0.0,0.72,2.0,0
1.0,2.0,40.81542,-73.94574,1,2.0,29.0,1.92,1.0,190
1.0,45.0,40.80998,-73.959,0,1.0,1.0,0.19,1.0,0
0.0,6.0,40.69117,-73.95233,0,5.0,2.0,0.54,2.0,0
0.0,15.0,40.67005,-73.93276,0,13.0,0.0,0.72,1.0,0
1.0,1.0,40.76381,-73.97314,0,3.0,0.0,0.72,1.0,0
1.0,28.0,40.77065,-73.95702,0,13.0,0.0,0.72,1.0,365
1.0,1.0,40.76487,-73.97857,1,1.0,9.0,0.62,3.0,89
0.0,96.0,40.62771,-73.96381,0,1.0,22.0,1.9,1.0,0
1.0,28.0,40.76043,-73.95992,1,13.0,15.0,0.25,4.0,333
2.0,96.0,40.69474,-73.82284,1,2.0,33.0,1.62,1.0,179
0.0,6.0,40.6854,-73.94253,1,3.0,12.0,4.0,1.0,301
0.0,21.0,40.68128,-73.90546,0,2.0,26.0,0.73,1.0,84
2.0,56.0,40.76682,-73.90807,0,2.0,27.0,1.03,2.0,338
1.0,18.0,40.86313,-73.92162,0,2.0,55.0,1.98,1.0,0
0.0,22.0,40.63379,-73.96246,0,13.0,0.0,0.72,1.0,90
1.0,2.0,40.80048,-73.94864,0,2.0,70.0,2.38,1.0,56
3.0,59.0,40.88467,-73.90575,0,4.0,11.0,0.35,2.0,0
0.0,21.0,40.70311,-73.91264,0,10.0,2.0,0.28,1.0,0
1.0,52.0,40.7358,-73.99677,1,3.0,8.0,0.16,1.0,0
1.0,68.0,40.73711,-73.98985,1,4.0,60.0,1.01,1.0,4
1.0,8.0,40.79765,-73.96245,1,2.0,70.0,2.18,1.0,236
0.0,6.0,40.68242,-73.95754,0,3.0,18.0,1.04,2.0,0
1.0,5.0,40.74622,-73.97913,0,13.0,19.0,0.52,1.0,96
1.0,27.0,40.72095,-73.99961,1,3.0,34.0,2.48,1.0,37
1.0,2.0,40.8232,-73.95463,0,1.0,39.0,2.37,2.0,153
2.0,96.0,40.66413,-73.76651,0,1.0,15.0,0.62,4.0,84
2.0,25.0,40.75405,-73.93717,0,7.0,1.0,0.02,1.0,0
0.0,6.0,40.68709,-73.95801,0,13.0,3.0,0.47,4.0,199
0.0,12.0,40.718,-73.95344,1,1.0,0.0,0.72,1.0,0
1.0,2.0,40.81274,-73.9455,0,1.0,3.0,0.3,2.0,57
2.0,37.0,40.75484,-73.82323,0,1.0,0.0,0.72,2.0,0
0.0,12.0,40.71586,-73.9391,1,2.0,15.0,3.52,1.0,292
0.0,6.0,40.68285,-73.91484,0,13.0,32.0,0.92,4.0,115
1.0,7.0,40.76229,-73.99994,0,13.0,0.0,0.72,2.0,140
0.0,16.0,40.67376,-73.98195,1,5.0,4.0,0.26,2.0,0
1.0,5.0,40.74827,-73.97868,0,2.0,1.0,0.1,3.0,293
0.0,6.0,40.67895,-73.93641,1,3.0,11.0,1.2,2.0,179
0.0,15.0,40.6654,-73.93653,0,1.0,0.0,0.72,1.0,0
0.0,82.0,40.58176,-73.96264,1,13.0,7.0,0.19,4.0,284
0.0,20.0,40.72612,-73.95691,1,2.0,48.0,3.0,1.0,48
1.0,4.0,40.79631,-73.94348,0,3.0,66.0,2.67,1.0,263
3.0,96.0,40.81576,-73.84653,1,3.0,0.0,0.72,4.0,169
1.0,1.0,40.75369,-73.96632,1,5.0,70.0,2.1,2.0,185
1.0,7.0,40.76076,-73.99266,0,1.0,7.0,0.24,1.0,45
0.0,21.0,40.69566,-73.90687,1,3.0,14.0,1.12,1.0,5
0.0,3.0,40.6955,-73.96446,1,1.0,35.0,2.87,1.0,0
1.0,7.0,40.76468,-73.98785,0,1.0,22.0,4.18,1.0,77
0.0,6.0,40.69227,-73.95187,1,2.0,70.0,3.38,2.0,89
0.0,6.0,40.68056,-73.9151,1,10.0,16.0,0.29,1.0,0
2.0,83.0,40.75122,-73.87977,1,3.0,23.0,1.49,1.0,302
1.0,2.0,40.81271,-73.94055,0,2.0,21.0,0.81,1.0,0
1.0,28.0,40.77418,-73.95327,1,7.0,10.0,0.66,1.0,0
1.0,14.0,40.74344,-74.00747,1,3.0,2.0,1.5,4.0,177
1.0,53.0,40.71705,-73.99818,2,1.0,20.0,1.53,3.0,354
0.0,12.0,40.71351,-73.92999,1,4.0,40.0,0.83,1.0,138
0.0,0.0,40.64277,-73.97947,1,1.0,1.0,0.02,2.0,0
1.0,1.0,40.75316,-73.97099,1,3.0,15.0,4.18,1.0,357
2.0,31.0,40.74496,-73.89534,1,1.0,70.0,4.18,1.0,320
0.0,12.0,40.71047,-73.95529,1,5.0,2.0,0.26,1.0,0
2.0,96.0,40.73566,-73.79059,1,3.0,17.0,4.18,1.0,329
1.0,52.0,40.73486,-73.99843,1,1.0,0.0,0.72,1.0,363
0.0,15.0,40.66939,-73.94839,1,2.0,55.0,0.91,1.0,306
1.0,14.0,40.74574,-73.99226,1,3.0,13.0,0.26,1.0,24
2.0,31.0,40.74824,-73.89961,0,13.0,1.0,0.3,4.0,1
3.0,96.0,40.63452,-74.11707,0,2.0,47.0,1.89,3.0,207
0.0,16.0,40.67143,-73.97538,0,5.0,26.0,0.59,2.0,292
1.0,14.0,40.73851,-73.99213,1,2.0,0.0,0.72,2.0,0
0.0,24.0,40.6582,-73.95275,0,5.0,18.0,0.22,3.0,365
2.0,49.0,40.77148,-73.9138,1,2.0,56.0,2.91,1.0,305
1.0,71.0,40.76122,-73.98583,1,13.0,0.0,0.72,4.0,333
0.0,6.0,40.69201,-73.95795,0,2.0,3.0,0.12,1.0,0
1.0,14.0,40.75229,-73.9955,1,2.0,1.0,0.04,1.0,0
0.0,96.0,40.64399,-73.89315,1,7.0,11.0,0.64,1.0,1
0.0,12.0,40.71064,-73.96335,1,2.0,5.0,4.18,1.0,204
1.0,14.0,40.74336,-73.99706,1,1.0,0.0,0.72,1.0,0
1.0,4.0,40.81344,-73.93454,0,2.0,7.0,0.21,1.0,32
1.0,1.0,40.75232,-73.96696,1,13.0,1.0,0.6,4.0,234
1.0,2.0,40.82178,-73.93946,0,1.0,1.0,1.0,1.0,45
1.0,4.0,40.79608,-73.93335,1,1.0,0.0,0.72,1.0,90
0.0,24.0,40.65514,-73.95956,0,1.0,70.0,1.52,1.0,2
0.0,6.0,40.69332,-73.95085,0,1.0,1.0,0.05,2.0,0
2.0,46.0,40.70713,-73.78342,0,2.0,34.0,2.63,1.0,331
0.0,73.0,40.58296,-73.95879,1,13.0,1.0,0.11,4.0,365
3.0,55.0,40.63476,-74.0894,0,3.0,3.0,1.11,3.0,61
0.0,79.0,40.65004,-74.00108,1,3.0,46.0,2.19,1.0,195
1.0,8.0,40.79387,-73.97136,1,5.0,0.0,0.72,1.0,0
1.0,14.0,40.73857,-73.99256,1,13.0,0.0,0.72,1.0,0
1.0,2.0,40.80375,-73.95501,1,2.0,20.0,2.02,1.0,11
0.0,6.0,40.6945,-73.94633,1,1.0,35.0,2.77,4.0,158
2.0,25.0,40.75748,-73.93119,0,1.0,0.0,0.72,1.0,0
1.0,19.0,40.72652,-73.97938,1,5.0,22.0,0.64,1.0,156
0.0,13.0,40.68991,-73.97352,1,4.0,13.0,4.06,1.0,179
0.0,12.0,40.71451,-73.93959,0,1.0,7.0,0.23,2.0,89
0.0,79.0,40.66084,-73.99328,1,13.0,22.0,0.47,2.0,5
0.0,6.0,40.68497,-73.9543,0,3.0,38.0,3.25,1.0,101
1.0,28.0,40.78331,-73.94646,1,13.0,0.0,0.72,4.0,332
1.0,68.0,40.73568,-73.98062,1,13.0,2.0,0.03,4.0,331
0.0,6.0,40.68851,-73.9574,0,3.0,9.0,0.18,1.0,0
0.0,6.0,40.68039,-73.94302,1,3.0,57.0,2.09,1.0,258
0.0,6.0,40.6885,-73.93283,1,2.0,51.0,1.76,1.0,83
1.0,7.0,40.76526,-73.99096,1,1.0,0.0,0.72,1.0,0
1.0,1.0,40.74612,-73.98948,1,13.0,0.0,0.72,1.0,0
0.0,3.0,40.68971,-73.96073,2,1.0,0.0,0.72,4.0,345
0.0,0.0,40.64277,-73.97296,0,2.0,20.0,0.42,1.0,347
1.0,14.0,40.74461,-73.992,1,13.0,0.0,0.72,4.0,349
1.0,43.0,40.70523,-74.01345,0,7.0,51.0,0.55,1.0,307
0.0,6.0,40.68782,-73.935,1,1.0,0.0,0.72,1.0,0
2.0,39.0,40.73894,-73.92288,0,2.0,26.0,2.8,4.0,355
0.0,20.0,40.7279,-73.94494,1,6.0,0.0,0.72,2.0,0
1.0,28.0,40.76513,-73.96583,1,5.0,14.0,1.22,1.0,92
0.0,15.0,40.67541,-73.94408,1,1.0,70.0,3.89,1.0,295
1.0,7.0,40.76828,-73.98755,1,3.0,3.0,3.0,1.0,42
2.0,81.0,40.73744,-73.87247,1,13.0,14.0,1.15,1.0,242
1.0,26.0,40.74429,-73.97663,1,2.0,2.0,0.05,1.0,0
0.0,12.0,40.71369,-73.95523,1,10.0,2.0,0.04,1.0,0
1.0,1.0,40.75029,-73.97142,1,13.0,2.0,0.15,4.0,161
2.0,44.0,40.70075,-73.90741,0,13.0,0.0,0.72,4.0,330
1.0,77.0,40.71953,-74.00386,1,13.0,10.0,0.53,3.0,335
1.0,7.0,40.75711,-73.99665,1,2.0,20.0,0.43,1.0,0
1.0,8.0,40.77778,-73.9781,0,2.0,70.0,3.9,1.0,263
1.0,28.0,40.77602,-73.95062,1,3.0,15.0,0.9,1.0,5
1.0,77.0,40.72203,-74.00988,1,10.0,3.0,0.05,1.0,0
0.0,22.0,40.64217,-73.9593,1,13.0,0.0,0.72,1.0,4
0.0,10.0,40.66043,-73.98609,1,2.0,19.0,0.78,1.0,93
0.0,90.0,40.63461,-74.03164,1,2.0,70.0,2.26,1.0,291
0.0,12.0,40.71816,-73.95031,0,1.0,32.0,1.73,1.0,0
2.0,96.0,40.71065,-73.83015,1,1.0,14.0,0.31,1.0,90
2.0,31.0,40.74185,-73.90684,0,2.0,9.0,0.26,2.0,0
0.0,15.0,40.67734,-73.96076,0,1.0,2.0,0.05,1.0,0
0.0,6.0,40.69049,-73.93014,1,2.0,70.0,4.18,2.0,272
0.0,20.0,40.73449,-73.95716,0,3.0,2.0,0.21,1.0,0
2.0,96.0,40.59486,-73.78856,1,2.0,10.0,0.4,1.0,166
0.0,34.0,40.68234,-73.98168,0,1.0,2.0,0.04,1.0,0
1.0,7.0,40.76028,-73.98846,0,1.0,70.0,4.18,2.0,152
3.0,96.0,40.57568,-74.09522,1,2.0,2.0,2.0,1.0,231
1.0,77.0,40.71417,-74.00678,1,3.0,60.0,0.91,1.0,348
1.0,1.0,40.75519,-73.97011,1,13.0,0.0,0.72,1.0,266
0.0,79.0,40.65477,-74.001,0,1.0,32.0,1.14,3.0,292
1.0,19.0,40.72412,-73.98667,0,2.0,1.0,0.03,1.0,0
0.0,6.0,40.68903,-73.93192,0,1.0,8.0,0.39,1.0,0
1.0,27.0,40.72542,-74.00156,0,1.0,2.0,0.67,3.0,53
0.0,12.0,40.71586,-73.94044,0,2.0,9.0,0.77,1.0,0
1.0,28.0,40.77699,-73.9524,1,1.0,0.0,0.72,1.0,0
1.0,4.0,40.7912,-73.94318,1,5.0,23.0,1.25,1.0,151
0.0,21.0,40.69298,-73.90685,0,5.0,1.0,0.09,1.0,17
0.0,32.0,40.6961,-73.99329,0,2.0,5.0,0.19,1.0,363
0.0,3.0,40.68657,-73.96003,1,3.0,3.0,0.16,1.0,0
3.0,96.0,40.87684,-73.86389,1,2.0,13.0,1.83,2.0,97
1.0,7.0,40.76379,-73.99378,1,2.0,1.0,0.02,1.0,0
0.0,13.0,40.68569,-73.97346,0,5.0,0.0,0.72,1.0,0
1.0,23.0,40.71435,-73.98924,1,6.0,7.0,0.23,1.0,0
0.0,15.0,40.67487,-73.94051,1,2.0,3.0,0.24,1.0,0
0.0,12.0,40.71784,-73.95611,0,4.0,1.0,0.16,1.0,5
0.0,24.0,40.66011,-73.95965,1,3.0,15.0,1.46,2.0,154
1.0,28.0,40.76802,-73.95653,1,4.0,10.0,0.19,1.0,0
0.0,3.0,40.68961,-73.96839,1,13.0,0.0,0.72,1.0,0
0.0,12.0,40.7133,-73.96341,1,5.0,12.0,3.5,2.0,107
2.0,96.0,40.69017,-73.86683,1,4.0,64.0,3.71,1.0,106
1.0,14.0,40.74897,-73.9968,1,13.0,16.0,0.3,4.0,234
2.0,46.0,40.67091,-73.78204,1,3.0,24.0,2.32,1.0,51
0.0,6.0,40.68906,-73.94103,1,4.0,70.0,0.97,1.0,246
0.0,20.0,40.73128,-73.95439,0,7.0,1.0,0.34,2.0,0
1.0,2.0,40.82932,-73.94696,1,2.0,15.0,2.38,1.0,12
2.0,49.0,40.7745,-73.90406,0,2.0,1.0,0.12,1.0,363
0.0,13.0,40.69692,-73.97352,1,1.0,6.0,0.26,1.0,0
0.0,6.0,40.69135,-73.94694,0,1.0,1.0,0.02,1.0,0
2.0,44.0,40.70117,-73.90666,2,13.0,1.0,0.05,4.0,7
0.0,12.0,40.71983,-73.95675,1,2.0,70.0,4.03,2.0,230
0.0,16.0,40.67713,-73.97829,1,2.0,70.0,4.11,1.0,269
0.0,6.0,40.69185,-73.95896,0,10.0,0.0,0.72,1.0,17
0.0,15.0,40.67923,-73.96286,1,1.0,70.0,4.18,1.0,257
1.0,23.0,40.71992,-73.99251,1,5.0,6.0,0.24,1.0,45
1.0,8.0,40.7732,-73.98768,1,4.0,60.0,2.42,1.0,320
