,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
45,0,24,40.65944,-73.96238,1,150,29,11,0.49,1,95
46,2,25,40.74771,-73.9474,0,130,3,248,2.25,1,215
47,0,6,40.68111,-73.95591,1,110,7,61,0.52,1,265
48,0,6,40.68554,-73.9409,1,115,3,11,0.1,1,0
49,0,13,40.69142,-73.97376,0,80,3,135,1.16,2,192
50,0,6,40.68043,-73.93934,0,80,1,112,1.01,3,251
51,1,8,40.78635,-73.97008,1,151,2,73,0.63,1,302
52,0,12,40.7042,-73.9356,1,228,3,82,0.7,1,140
53,0,20,40.73506,-73.95392,1,144,2,328,2.82,1,234
54,1,26,40.73961,-73.98074,1,200,7,19,0.22,1,257
55,0,12,40.70881,-73.9593,1,150,30,105,0.9,1,30
56,1,23,40.72004,-73.99104,0,110,5,19,0.17,1,301
57,1,7,40.75531,-73.99293,0,69,2,289,2.49,2,294
58,0,20,40.72401,-73.93788,0,49,4,138,1.19,3,320
59,1,27,40.7221,-73.99775,1,180,30,21,0.3,1,154
60,0,12,40.71185,-73.96204,0,80,2,42,0.38,1,263
61,1,14,40.74623,-73.9953,1,375,180,5,0.12,1,180
62,1,28,40.77065,-73.95269,1,250,2,66,0.57,2,231
63,0,29,40.67811,-73.96428,1,200,30,143,1.33,2,297
64,0,3,40.69,-73.96788,0,55,7,27,0.23,2,292
65,1,7,40.75979,-73.99119,0,52,30,191,1.65,1,191
66,0,16,40.67343,-73.98338,1,225,3,4,0.16,1,0
67,1,19,40.72649,-73.97904,0,80,1,338,4.72,2,72
68,0,12,40.70933,-73.96792,1,275,1,148,1.4,1,362
69,1,19,40.72298,-73.98474,0,99,1,106,1.26,2,336
70,1,4,40.80164,-73.93922,1,225,4,190,1.64,1,215
71,1,19,40.72162,-73.98008,1,230,9,49,0.43,1,116
72,1,7,40.76342,-73.98865,0,51,7,23,0.43,1,88
73,1,30,40.83139,-73.94095,0,65,2,49,1.6,2,336
74,0,3,40.68346,-73.96374,0,105,2,105,0.92,1,304
75,1,19,40.72828,-73.98801,1,190,5,21,0.2,1,224
76,1,28,40.76865,-73.95058,0,200,1,142,1.5,1,322
77,2,31,40.75038,-73.90334,0,70,30,25,0.22,1,324
78,0,13,40.6932,-73.97267,0,95,3,143,1.28,1,132
79,1,14,40.74138,-74.00197,0,150,3,167,1.65,1,295
80,0,12,40.71154,-73.96112,0,145,3,61,0.54,4,238
81,1,2,40.82915,-73.95136,1,110,31,54,0.49,1,209
82,1,23,40.71851,-73.98892,1,285,5,70,0.62,1,328
83,0,22,40.65401,-73.96323,1,130,6,16,0.15,1,38
84,1,23,40.7114,-73.98794,0,94,30,94,0.84,1,188
85,0,32,40.69723,-73.99268,1,800,1,25,0.24,1,7
86,0,12,40.71833,-73.95748,1,105,3,61,0.53,1,272
87,1,19,40.72334,-73.9844,0,60,3,194,1.73,1,26
88,1,19,40.72912,-73.98057,0,50,1,2,0.05,1,0
89,0,12,40.71156,-73.96218,0,85,3,174,1.54,4,288
90,0,21,40.70032,-73.9383,0,65,4,24,0.28,1,317
91,0,29,40.68233,-73.97261,1,131,4,166,3.4,1,207
92,0,3,40.68634,-73.966,0,98,7,16,0.2,6,185
93,0,29,40.68035,-73.97162,1,250,7,21,0.3,1,158
94,0,12,40.70984,-73.95775,1,100,5,168,1.57,1,0
95,0,21,40.70093,-73.92609,1,105,3,118,1.05,2,9
96,1,8,40.79764,-73.96177,1,140,3,81,0.71,1,198
97,1,2,40.82803,-73.94731,0,89,1,1,0.11,1,365
98,1,14,40.74008,-74.00271,0,98,30,30,0.27,2,364
99,0,6,40.68413,-73.92357,1,125,7,139,1.23,2,311
100,1,2,40.82279,-73.95139,0,60,3,11,0.87,3,219
101,0,33,40.67967,-74.00154,1,175,2,233,2.09,3,342
102,1,30,40.83927,-73.94281,0,65,2,68,0.6,1,312
103,1,11,40.73096,-74.00319,1,500,4,46,0.55,2,243
104,0,12,40.71332,-73.94177,0,101,3,335,3.02,1,152
105,0,16,40.66941,-73.98109,1,220,30,88,0.79,1,9
106,0,6,40.68373,-73.92377,1,125,90,162,1.46,2,137
107,0,12,40.71459,-73.94844,1,80,30,29,0.4,1,222
108,1,2,40.8092,-73.94421,0,100,2,170,1.61,1,346
109,0,34,40.68157,-73.98989,1,200,30,19,0.2,1,208
110,1,7,40.75527,-73.99291,0,59,2,334,3.0,2,279
111,0,3,40.68698,-73.96572,0,125,2,19,0.2,6,250
112,1,19,40.7288,-73.98192,1,140,7,12,0.13,1,164
113,0,10,40.66853,-73.98912,1,120,30,467,4.22,2,192
114,1,19,40.7254,-73.98157,1,350,2,7,0.06,4,298
115,1,26,40.74294,-73.98009,1,199,5,38,0.38,1,260
116,0,12,40.71942,-73.95748,1,325,3,324,3.01,1,107
117,1,8,40.77823,-73.97637,1,235,6,27,0.27,1,199
118,1,19,40.72555,-73.97965,1,225,1,115,1.05,4,299
119,0,10,40.66831,-73.98604,0,99,2,354,3.2,3,20
120,1,2,40.82754,-73.94919,1,170,2,195,2.03,1,318
121,0,10,40.66499,-73.97925,1,400,2,16,0.24,2,216
122,1,8,40.77842,-73.97556,1,170,7,13,0.12,1,224
123,1,19,40.72245,-73.98527,1,100,4,25,0.23,1,0
124,0,24,40.65593,-73.96053,0,75,2,9,0.08,1,324
125,0,12,40.71923,-73.96468,0,90,1,9,0.08,1,245
126,1,28,40.778,-73.94822,1,150,5,21,0.19,1,189
127,1,30,40.85879,-73.93128,0,85,15,36,0.33,1,307
128,0,6,40.68332,-73.9547,0,70,3,63,0.58,2,310
129,1,2,40.81618,-73.94894,1,120,3,155,1.42,3,213
130,0,3,40.68414,-73.96351,0,89,3,260,2.35,1,278
131,1,19,40.72392,-73.99143,1,185,5,73,0.66,1,209
132,0,20,40.73494,-73.9503,0,50,3,193,1.86,1,0
133,1,23,40.71341,-73.98856,1,105,3,32,0.29,1,16
134,1,7,40.76754,-73.98399,0,130,2,50,0.45,3,234
135,1,11,40.73442,-74.00303,1,115,29,26,0.25,1,12
136,0,35,40.63188,-73.93248,0,77,2,2,0.02,1,178
137,0,3,40.6873,-73.9634,0,76,2,426,3.89,3,275
138,0,6,40.68296,-73.93662,1,125,3,227,2.09,2,163
139,0,3,40.6863,-73.96765,0,135,4,84,0.77,3,365
140,0,20,40.73409,-73.95348,1,250,29,3,0.03,1,34
141,0,12,40.71561,-73.94835,1,199,3,10,0.1,1,280
142,0,36,40.6857,-73.99183,1,140,2,4,0.04,1,0
143,2,37,40.74028,-73.83168,0,140,2,1,0.01,1,1
144,0,6,40.68281,-73.93524,1,115,3,124,1.72,2,170
145,0,12,40.71596,-73.93938,1,160,3,11,0.11,1,188
146,0,12,40.71492,-73.95935,1,195,4,240,2.19,1,214
147,1,19,40.72354,-73.98295,1,195,3,30,0.28,1,248
148,0,12,40.71165,-73.96087,0,80,3,200,1.86,4,262
149,0,13,40.69101,-73.97312,0,44,8,27,1.05,5,280
150,1,11,40.73474,-74.00101,0,156,4,79,0.74,1,307
151,0,29,40.67386,-73.96641,0,85,15,9,0.09,1,339
152,0,12,40.71536,-73.96057,0,125,3,155,1.61,1,1
153,0,29,40.6741,-73.96595,1,115,15,4,0.05,1,269
154,1,4,40.79295,-73.93997,0,69,2,34,0.32,1,10
155,1,11,40.73226,-74.00401,1,225,45,134,1.24,1,312
156,0,12,40.71363,-73.96398,1,125,6,27,0.25,1,189
157,1,28,40.77711,-73.9527,1,219,4,126,1.16,2,290
158,0,38,40.68559,-73.98094,1,475,3,23,0.27,1,230
159,1,28,40.77456,-73.95323,1,99,1,234,2.6,2,164
160,0,12,40.71088,-73.95055,0,69,4,202,1.86,2,53
161,2,39,40.74559,-73.92313,0,79,30,28,0.26,1,126
162,0,6,40.68306,-73.94659,1,135,2,309,2.86,2,3
163,0,40,40.70207,-73.98571,0,250,3,14,0.13,1,189
164,1,28,40.76123,-73.9642,1,250,3,4,0.08,1,365
165,0,34,40.66858,-73.99083,1,250,2,80,2.17,1,0
166,1,2,40.82704,-73.94907,1,80,3,2,0.04,1,0
167,0,3,40.68843,-73.96408,0,70,2,294,3.47,3,336
168,0,33,40.6783,-74.00135,1,165,2,150,1.4,3,342
169,3,41,40.64524,-74.08088,0,70,2,166,1.66,1,312
170,0,21,40.70641,-73.91765,0,50,2,47,0.94,1,37
171,4,42,40.83232,-73.93184,0,40,1,219,2.04,3,353
172,0,12,40.71045,-73.9677,1,150,2,193,1.78,1,177
173,1,19,40.72518,-73.98034,0,125,1,84,0.78,4,310
174,1,43,40.70666,-74.01374,1,196,3,114,1.06,1,0
175,0,13,40.69098,-73.97113,0,110,2,213,2.0,2,321
176,1,11,40.73756,-74.00405,1,170,3,86,0.8,1,246
177,1,2,40.81526,-73.94791,1,165,3,80,0.75,3,231
178,1,11,40.73423,-74.0046,1,150,26,38,0.36,1,225
179,1,2,40.82374,-73.9373,1,100,2,18,1.79,1,0
180,0,13,40.68863,-73.97691,0,65,2,206,1.92,2,0
181,2,44,40.70382,-73.89797,1,350,8,10,0.11,5,365
182,1,45,40.80549,-73.95924,0,99,4,122,1.18,2,233
183,0,12,40.71627,-73.9587,1,200,4,33,0.58,1,1
184,0,16,40.67994,-73.97863,1,150,5,52,0.5,1,18
185,0,6,40.67992,-73.9475,0,90,3,126,1.17,4,343
186,0,29,40.67868,-73.97307,0,120,3,51,0.48,3,250
187,1,28,40.76834,-73.95334,0,75,3,199,1.85,1,326
188,0,6,40.68237,-73.9415,1,175,26,30,0.29,1,364
189,1,14,40.74031,-73.99999,1,125,3,3,0.03,1,0
190,1,7,40.76307,-73.99665,1,275,1,41,0.38,1,299
191,1,23,40.71882,-73.98852,1,299,2,109,1.04,1,207
192,0,10,40.6693,-73.98804,1,135,5,151,1.43,3,162
193,1,28,40.77333,-73.95199,0,130,14,0,0.72,2,0
194,1,23,40.72319,-73.99201,0,83,1,285,2.69,1,7
195,1,14,40.74859,-73.99671,0,123,1,375,3.52,1,328
196,2,46,40.67252,-73.76597,0,55,2,52,0.49,2,365
197,1,7,40.76244,-73.99271,1,195,5,10,1.01,1,0
198,0,6,40.69546,-73.93503,0,80,2,11,0.48,1,0
199,2,47,40.71722,-73.87856,1,98,30,33,0.31,5,240
200,2,44,40.70234,-73.89816,0,140,7,6,0.06,5,365
201,2,47,40.71546,-73.87854,1,265,7,38,0.38,5,365
202,0,12,40.7195,-73.95976,1,249,2,358,3.44,2,164
203,1,7,40.76548,-73.98474,2,105,6,10,0.09,1,363
204,1,2,40.80234,-73.95603,0,200,30,0,0.72,1,365
205,0,29,40.6787,-73.97262,0,100,2,226,2.12,3,250
206,1,2,40.81035,-73.94598,1,121,1,104,1.0,5,247
207,4,42,40.83075,-73.93058,0,45,1,138,1.45,3,323
208,1,4,40.79958,-73.94275,0,100,5,204,1.92,1,192
209,0,12,40.71625,-73.93845,1,140,2,253,3.04,1,125
210,0,6,40.6829,-73.93549,0,71,2,23,0.22,1,91
211,1,48,40.72773,-73.99134,0,130,2,115,1.17,1,75
212,1,11,40.72861,-74.0049,1,199,5,129,1.22,1,286
213,0,12,40.70979,-73.95162,0,69,4,82,1.13,2,60
214,0,13,40.68656,-73.97525,0,68,3,37,0.35,1,0
215,1,19,40.72752,-73.98432,1,130,1,204,2.04,1,192
216,0,20,40.729,-73.95829,1,195,2,69,0.65,1,58
217,1,2,40.81219,-73.94499,0,64,1,192,1.84,5,245
218,2,49,40.77185,-73.90502,1,140,2,17,0.16,1,292
219,0,36,40.68926,-73.99386,1,159,2,222,2.12,1,279
220,1,19,40.72821,-73.98701,1,189,3,205,1.96,1,0
221,1,7,40.7672,-73.98508,1,250,3,94,0.96,1,3
222,1,19,40.73012,-73.99053,1,239,3,7,0.07,1,351
223,1,50,40.7403,-73.98498,1,305,2,108,1.09,1,201
224,1,2,40.80931,-73.94343,1,155,3,222,2.1,2,232
225,1,2,40.8251,-73.94287,0,60,1,458,4.58,2,258
226,0,17,40.6585,-73.98397,0,135,2,21,0.26,1,272
227,1,51,40.76193,-73.9501,0,120,7,17,0.3,1,341
228,1,23,40.72052,-73.98589,1,150,3,41,0.39,1,244
229,2,44,40.70411,-73.89934,1,140,14,1,0.01,5,365
230,0,20,40.73401,-73.95967,1,135,2,69,0.67,1,12
231,1,9,40.71756,-73.99503,1,250,4,18,0.18,2,265
232,1,1,40.7589,-73.96991,1,250,30,82,0.78,1,0
233,1,27,40.72003,-74.00262,1,500,4,94,0.99,1,329
234,1,52,40.73194,-73.99474,1,225,5,10,0.1,1,91
235,1,4,40.79163,-73.94573,1,125,28,183,1.83,2,365
236,1,2,40.8118,-73.94434,0,92,1,189,1.82,5,253
237,1,2,40.81583,-73.94707,0,175,2,1,0.11,1,365
238,1,19,40.72654,-73.98049,1,99,2,127,1.22,1,320
239,1,8,40.80021,-73.96071,1,195,4,4,0.04,1,0
240,1,4,40.80942,-73.93936,1,140,3,135,1.3,3,192
241,1,53,40.71961,-73.9954,1,135,2,21,0.2,1,0
242,1,14,40.74358,-74.00027,1,500,2,35,0.34,1,348
243,1,2,40.80335,-73.9575,0,80,14,10,2.21,2,0
244,1,9,40.71445,-73.9908,0,120,4,171,1.8,2,353
245,1,1,40.75749,-73.96897,1,110,200,92,0.9,1,140
246,0,54,40.64446,-73.9503,1,65,3,238,2.3,1,2
247,1,19,40.7268,-73.99079,1,130,50,56,0.58,1,56
248,0,21,40.688,-73.9171,1,99,3,111,2.13,1,68
249,3,55,40.63536,-74.08537,0,36,2,193,1.85,6,360
250,3,55,40.63627,-74.08543,0,37,2,147,1.44,6,0
251,3,55,40.63518,-74.08546,0,37,2,177,1.71,6,320
252,1,19,40.72477,-73.98161,1,175,3,185,1.78,2,326
253,1,14,40.74238,-73.99567,1,205,9,62,0.7,2,76
254,0,20,40.72945,-73.95511,1,285,3,124,1.22,3,279
255,0,12,40.70763,-73.95177,0,59,2,181,1.77,2,15
256,3,55,40.63481,-74.08519,0,36,2,333,3.19,6,340
257,2,56,40.75384,-73.91433,1,99,5,441,4.5,1,226
258,0,0,40.64106,-73.97426,0,39,1,45,0.46,2,365
259,0,16,40.66793,-73.98327,0,60,14,9,0.09,2,0
260,4,57,40.81309,-73.85514,0,90,2,0,0.72,7,349
261,4,58,40.88057,-73.83572,1,105,2,38,0.5,13,365
262,0,6,40.68236,-73.94314,1,135,2,248,2.39,2,11
263,1,19,40.72185,-73.98246,1,390,5,143,1.38,2,316
264,0,6,40.68503,-73.95385,0,70,3,36,0.41,4,281
265,1,18,40.86648,-73.9263,0,75,7,0,0.72,2,323
266,0,12,40.7069,-73.95467,0,60,17,14,0.14,4,362
267,1,19,40.72807,-73.98594,1,200,3,0,0.72,1,0
268,0,15,40.6778,-73.94339,0,100,3,279,2.69,1,301
269,0,6,40.68317,-73.94701,0,70,4,18,0.22,4,189
270,0,15,40.6761,-73.9529,0,110,6,50,3.55,1,0
271,0,15,40.67586,-73.95155,0,60,2,227,2.27,2,287
272,1,53,40.71702,-73.99811,1,90,14,1,0.16,1,14
273,1,19,40.72321,-73.98157,0,68,2,203,1.96,2,86
274,1,8,40.77956,-73.98098,1,115,2,210,2.1,1,261
275,0,6,40.68276,-73.95264,0,75,5,64,0.67,1,68
276,0,12,40.71368,-73.9626,0,60,3,0,0.72,1,0
277,1,19,40.72956,-73.98158,1,129,7,5,0.15,1,231
278,0,12,40.71069,-73.95175,1,130,10,49,0.48,1,152
279,0,12,40.70863,-73.94641,1,95,4,132,1.27,1,46
280,1,2,40.82888,-73.94307,0,75,3,20,0.26,1,364
281,0,16,40.67319,-73.97323,1,175,2,11,0.11,1,246
282,0,33,40.67846,-73.99443,1,190,3,51,0.57,1,288
283,0,15,40.6715,-73.94808,0,49,21,15,0.15,5,331
284,1,19,40.72681,-73.98534,1,212,3,67,1.31,1,51
285,1,23,40.71904,-73.99392,0,95,1,109,1.11,3,364
286,0,12,40.71031,-73.9583,1,140,2,9,0.11,1,254
287,1,2,40.81322,-73.95306,1,135,6,187,1.87,1,189
288,0,16,40.67732,-73.98225,1,150,2,214,2.08,2,263
289,0,34,40.68076,-73.9896,1,190,3,69,0.79,2,258
290,1,4,40.79603,-73.94903,1,124,28,22,0.26,1,103
291,0,12,40.71492,-73.96282,1,135,30,56,0.56,1,42
292,1,45,40.80393,-73.95838,0,122,3,93,0.93,1,246
293,1,8,40.80082,-73.9652,0,109,1,104,1.05,2,364
294,1,2,40.82976,-73.94867,0,85,30,64,0.68,1,318
295,0,6,40.683,-73.91981,1,145,3,127,1.25,2,72
296,1,8,40.78971,-73.9729,1,195,11,30,0.32,1,249
297,0,33,40.67817,-73.99495,1,250,2,106,1.34,3,272
298,0,20,40.73119,-73.95578,0,125,3,6,0.1,1,325
299,1,53,40.71943,-73.99627,1,575,2,191,1.88,1,298
300,1,8,40.78,-73.98249,1,150,30,48,0.55,1,35
301,0,21,40.70514,-73.91922,0,70,5,47,0.49,1,203
302,1,18,40.86713,-73.92811,0,90,2,120,1.27,1,132
303,1,19,40.73198,-73.98881,0,65,3,52,0.63,1,5
304,1,19,40.72542,-73.97986,1,500,2,48,0.48,4,297
305,1,30,40.83494,-73.93869,1,250,3,32,0.43,2,276
306,1,9,40.71659,-73.98945,1,125,25,43,0.42,1,102
307,1,11,40.72966,-74.00243,1,200,30,39,0.44,1,251
308,0,20,40.72898,-73.95552,1,229,1,50,0.5,1,188
309,4,59,40.87207,-73.90193,1,90,30,4,0.35,2,346
310,1,8,40.77728,-73.97818,1,110,13,38,0.39,1,0
311,0,20,40.72646,-73.95341,0,59,3,29,0.36,1,15
312,0,12,40.71015,-73.96101,1,195,4,59,0.6,1,71
313,0,12,40.71903,-73.9597,1,169,1,68,0.67,2,215
314,1,4,40.80892,-73.93985,1,113,14,26,0.27,3,253
315,1,2,40.80276,-73.9567,1,250,14,31,0.31,1,78
316,2,56,40.77635,-73.93426,1,115,2,198,2.01,1,257
317,0,20,40.72488,-73.95018,0,55,2,1,0.01,1,0
318,0,12,40.71398,-73.95763,0,69,2,220,2.17,2,8
319,1,23,40.71876,-73.98394,1,150,3,286,2.81,1,191
320,0,10,40.66552,-73.99019,1,169,2,398,3.97,3,182
321,0,20,40.73749,-73.95292,0,179,3,36,0.36,28,79
322,1,7,40.76248,-73.9913,0,150,3,36,0.36,1,49
323,0,38,40.68674,-73.98876,1,135,4,6,0.1,1,0
324,0,3,40.6848,-73.96219,1,350,6,14,0.3,1,156
325,0,12,40.70516,-73.95455,0,120,14,76,0.76,6,343
326,1,19,40.72329,-73.98486,0,71,2,182,1.81,1,200
327,0,20,40.73776,-73.95327,0,349,3,8,0.09,28,60
328,0,20,40.73738,-73.95482,0,349,3,7,0.07,28,60
329,0,16,40.67542,-73.98142,1,165,30,34,0.51,2,189
330,0,20,40.73842,-73.95312,0,249,3,2,0.02,28,60
331,0,32,40.6926,-73.99832,0,100,3,66,0.68,2,0
332,0,32,40.69441,-73.99771,1,200,3,80,0.85,2,106
333,1,19,40.72399,-73.98374,1,169,4,240,2.4,1,276
334,0,6,40.6824,-73.94615,1,185,3,46,1.07,1,248
335,0,21,40.68949,-73.91708,1,65,2,228,2.27,1,194
336,0,13,40.68819,-73.97258,1,130,35,5,0.05,1,135
337,0,12,40.7205,-73.96015,1,199,30,8,0.11,1,30
338,1,19,40.72451,-73.98094,1,225,2,33,0.33,1,0
339,0,20,40.73813,-73.95394,0,179,3,13,0.14,28,81
340,0,15,40.67591,-73.94715,1,150,5,5,0.05,1,0
341,1,19,40.72843,-73.98895,1,139,1,388,3.88,1,142
342,1,60,40.71271,-73.99776,0,95,3,223,2.22,2,60
343,0,15,40.66966,-73.94735,1,79,15,11,0.11,5,179
344,1,23,40.71965,-73.98766,1,150,2,151,1.51,2,52
345,0,3,40.68613,-73.96536,1,650,5,0,0.72,3,365
346,0,6,40.68048,-73.94911,1,90,3,218,2.26,4,324
347,0,6,40.68314,-73.93963,1,120,2,75,0.76,2,237
348,2,56,40.75961,-73.91117,0,80,1,42,1.21,2,365
349,0,15,40.67473,-73.94494,1,100,90,0,0.72,1,365
350,0,6,40.69305,-73.93185,1,175,2,370,3.74,1,204
351,0,15,40.67174,-73.95663,1,120,5,104,1.04,1,272
352,0,12,40.71055,-73.95098,1,140,7,13,0.13,1,0
353,0,6,40.69465,-73.95458,1,200,5,4,0.07,1,9
354,0,3,40.68413,-73.96542,0,165,4,11,0.11,3,365
355,1,26,40.73877,-73.97707,1,125,4,1,0.01,3,181
356,1,14,40.74893,-73.99544,1,130,30,19,0.19,1,189
357,1,4,40.79406,-73.94102,2,65,7,131,1.31,2,0
358,0,13,40.68795,-73.97332,1,123,30,15,0.15,1,189
359,1,30,40.85295,-73.93361,0,67,2,136,1.37,1,296
360,2,61,40.72413,-73.76133,0,50,1,43,0.45,1,88
361,0,34,40.66918,-73.99187,1,130,7,98,0.99,1,35
362,0,12,40.71125,-73.95613,0,100,3,31,0.31,1,0
363,1,8,40.78558,-73.9696,1,212,21,45,0.46,1,35
364,0,12,40.71577,-73.96053,1,190,3,124,1.76,1,359
365,0,20,40.73861,-73.95485,0,599,3,9,0.09,28,60
366,1,19,40.72577,-73.98745,1,249,5,166,1.68,2,365
367,2,62,40.58615,-73.81245,0,70,27,13,0.13,1,335
368,0,15,40.67086,-73.94872,1,100,30,15,0.16,5,282
369,1,2,40.82773,-73.95231,0,60,3,380,3.83,2,247
370,0,6,40.68505,-73.95684,1,135,2,86,0.87,1,102
371,0,20,40.72911,-73.95493,1,175,3,248,2.53,3,274
372,1,8,40.77944,-73.98567,1,120,5,49,0.56,1,201
373,1,1,40.74503,-73.98876,1,169,18,54,0.57,1,98
374,0,15,40.67539,-73.96093,1,165,7,3,0.03,1,157
375,1,2,40.8054,-73.95189,0,90,1,1,0.02,1,0
376,1,28,40.78491,-73.9508,1,225,2,56,0.57,1,312
377,0,13,40.69088,-73.97307,0,95,2,163,1.66,2,331
378,0,15,40.67555,-73.95057,0,55,2,247,2.51,2,275
379,1,7,40.75835,-73.99193,0,85,10,116,1.17,1,174
380,0,10,40.66527,-73.9886,1,199,14,27,0.28,2,223
381,1,23,40.71895,-73.99434,1,211,1,52,0.6,3,361
382,1,1,40.75579,-73.96699,1,145,6,39,0.4,1,0
383,1,2,40.82399,-73.95328,0,65,14,35,0.35,1,283
384,1,2,40.81822,-73.94095,1,99,1,320,3.23,1,220
385,2,56,40.76434,-73.92132,1,110,4,30,0.32,1,363
386,0,15,40.67705,-73.94925,1,80,3,225,2.27,4,315
387,0,32,40.69263,-73.99438,1,150,30,95,0.96,1,281
388,0,6,40.68448,-73.92747,1,110,4,70,0.75,1,283
389,1,14,40.74412,-74.00208,0,290,2,35,0.36,1,20
390,1,19,40.73067,-73.98702,0,87,2,0,0.72,1,0
391,0,12,40.70665,-73.94061,1,190,4,50,0.51,1,331
392,0,12,40.72063,-73.95952,1,200,2,29,0.31,1,36
393,0,16,40.67644,-73.98082,1,165,2,23,0.23,2,7
394,1,2,40.80481,-73.94794,1,110,2,142,1.44,2,301
395,1,19,40.72533,-73.99143,1,395,2,70,0.73,1,170
396,0,6,40.68569,-73.93038,0,99,2,38,0.54,2,307
397,0,0,40.64302,-73.97255,0,39,1,82,0.94,2,365
398,1,19,40.72939,-73.98857,1,189,2,403,4.1,3,201
399,1,8,40.79918,-73.96607,0,85,1,3,0.03,1,0
400,0,34,40.66862,-73.9926,1,260,30,3,0.03,1,316
401,1,2,40.81333,-73.94453,1,122,1,116,1.18,5,271
402,0,20,40.72473,-73.95199,1,165,2,175,1.79,1,139
403,2,63,40.70925,-73.85262,1,97,3,28,1.21,3,209
404,1,11,40.73215,-74.00922,1,170,4,24,0.25,1,0
405,0,12,40.71109,-73.94332,1,125,2,15,0.15,1,0
406,1,5,40.7463,-73.97926,0,130,4,105,1.07,1,193
407,0,12,40.71823,-73.95849,1,225,10,22,0.38,1,52
408,0,54,40.651,-73.94886,0,50,2,263,2.69,2,136
409,0,13,40.68626,-73.97598,1,170,3,86,0.91,2,286
410,1,14,40.74488,-74.001,1,132,4,10,0.1,1,0
411,0,16,40.67632,-73.97616,1,250,7,18,0.21,1,18
412,0,20,40.72212,-73.94254,1,141,5,8,0.21,1,9
413,0,15,40.67456,-73.95151,1,64,20,70,0.73,1,3
414,0,12,40.71363,-73.96019,1,249,3,150,1.55,1,277
415,0,15,40.6755,-73.95878,0,79,2,115,1.18,1,0
416,1,19,40.72274,-73.97581,1,185,2,69,0.71,1,233
417,0,38,40.6858,-73.9828,1,120,3,232,2.41,1,221
418,0,16,40.67535,-73.97654,1,495,1,35,0.41,1,355
419,1,64,40.72255,-73.99346,1,375,3,18,0.21,1,0
